Type,Node,Serial Number,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Peer IP Address
l3leaf,s1-brdr1,,Ethernet2,10.101.1.141/31,spine,s1-spine1,,Ethernet7,10.101.1.140/31
l3leaf,s1-brdr1,,Ethernet3,10.101.1.143/31,spine,s1-spine2,,Ethernet7,10.101.1.142/31
l3leaf,s1-brdr1,,Ethernet4,172.16.1.0/31,rr,s1-core1,,Ethernet2,172.16.1.1/31
l3leaf,s1-brdr1,,Ethernet5,172.16.1.2/31,pe,s1-core2,,Ethernet2,172.16.1.3/31
l3leaf,s1-brdr2,,Ethernet2,10.101.1.145/31,spine,s1-spine1,,Ethernet8,10.101.1.144/31
l3leaf,s1-brdr2,,Ethernet3,10.101.1.147/31,spine,s1-spine2,,Ethernet8,10.101.1.146/31
l3leaf,s1-brdr2,,Ethernet4,172.16.1.4/31,rr,s1-core1,,Ethernet3,172.16.1.5/31
l3leaf,s1-brdr2,,Ethernet5,172.16.1.6/31,pe,s1-core2,,Ethernet3,172.16.1.7/31
rr,s1-core1,,Ethernet1,10.0.0.0/31,pe,s1-core2,,Ethernet1,10.0.0.1/31
rr,s1-core1,,Ethernet4,10.0.0.8/31,rr,s2-core1,,Ethernet4,10.0.0.9/31
rr,s1-core1,,Ethernet6,10.0.0.2/31,pe,s1-core2,,Ethernet6,10.0.0.3/31
pe,s1-core2,,Ethernet4,10.0.0.10/31,pe,s2-core2,,Ethernet4,10.0.0.11/31
l3leaf,s1-leaf1,,Ethernet2,10.101.0.45/31,spine,s1-spine1,,Ethernet2,10.101.0.44/31
l3leaf,s1-leaf1,,Ethernet3,10.101.0.47/31,spine,s1-spine2,,Ethernet2,10.101.0.46/31
l3leaf,s1-leaf2,,Ethernet2,10.101.0.49/31,spine,s1-spine1,,Ethernet3,10.101.0.48/31
l3leaf,s1-leaf2,,Ethernet3,10.101.0.51/31,spine,s1-spine2,,Ethernet3,10.101.0.50/31
l3leaf,s1-leaf3,,Ethernet2,10.101.0.53/31,spine,s1-spine1,,Ethernet4,10.101.0.52/31
l3leaf,s1-leaf3,,Ethernet3,10.101.0.55/31,spine,s1-spine2,,Ethernet4,10.101.0.54/31
l3leaf,s1-leaf4,,Ethernet2,10.101.0.57/31,spine,s1-spine1,,Ethernet5,10.101.0.56/31
l3leaf,s1-leaf4,,Ethernet3,10.101.0.59/31,spine,s1-spine2,,Ethernet5,10.101.0.58/31
l3leaf,s2-brdr1,,Ethernet2,10.102.3.29/31,spine,s2-spine1,,Ethernet7,10.102.3.28/31
l3leaf,s2-brdr1,,Ethernet3,10.102.3.31/31,spine,s2-spine2,,Ethernet7,10.102.3.30/31
l3leaf,s2-brdr1,,Ethernet4,172.16.2.0/31,rr,s2-core1,,Ethernet2,172.16.2.1/31
l3leaf,s2-brdr1,,Ethernet5,172.16.2.2/31,pe,s2-core2,,Ethernet2,172.16.2.3/31
l3leaf,s2-brdr2,,Ethernet2,10.102.3.33/31,spine,s2-spine1,,Ethernet8,10.102.3.32/31
l3leaf,s2-brdr2,,Ethernet3,10.102.3.35/31,spine,s2-spine2,,Ethernet8,10.102.3.34/31
l3leaf,s2-brdr2,,Ethernet4,172.16.2.4/31,rr,s2-core1,,Ethernet3,172.16.2.5/31
l3leaf,s2-brdr2,,Ethernet5,172.16.2.6/31,pe,s2-core2,,Ethernet3,172.16.2.7/31
rr,s2-core1,,Ethernet1,10.0.0.4/31,pe,s2-core2,,Ethernet1,10.0.0.5/31
rr,s2-core1,,Ethernet6,10.0.0.6/31,pe,s2-core2,,Ethernet6,10.0.0.7/31
l3leaf,s2-leaf1,,Ethernet2,10.102.0.85/31,spine,s2-spine1,,Ethernet2,10.102.0.84/31
l3leaf,s2-leaf1,,Ethernet3,10.102.0.87/31,spine,s2-spine2,,Ethernet2,10.102.0.86/31
l3leaf,s2-leaf2,,Ethernet2,10.102.0.89/31,spine,s2-spine1,,Ethernet3,10.102.0.88/31
l3leaf,s2-leaf2,,Ethernet3,10.102.0.91/31,spine,s2-spine2,,Ethernet3,10.102.0.90/31
l3leaf,s2-leaf3,,Ethernet2,10.102.0.93/31,spine,s2-spine1,,Ethernet4,10.102.0.92/31
l3leaf,s2-leaf3,,Ethernet3,10.102.0.95/31,spine,s2-spine2,,Ethernet4,10.102.0.94/31
l3leaf,s2-leaf4,,Ethernet2,10.102.0.97/31,spine,s2-spine1,,Ethernet5,10.102.0.96/31
l3leaf,s2-leaf4,,Ethernet3,10.102.0.99/31,spine,s2-spine2,,Ethernet5,10.102.0.98/31
