Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
l3leaf,eos1,,Ethernet1,p,eos2,,Ethernet5,True
l3leaf,eos1,,Ethernet4,spine,eos6,,Ethernet4,True
l3leaf,eos1,,Ethernet5,rr,eos5,,Ethernet4,True
p,eos2,,Ethernet2,l3leaf,eos4,,Ethernet4,True
p,eos2,,Ethernet3,rr,eos5,,Ethernet3,True
p,eos2,,Ethernet5,l3leaf,eos1,,Ethernet1,True
spine,eos3,,Ethernet2,l3leaf,eos7,,Ethernet1,True
spine,eos3,,Ethernet5,l3leaf,eos4,,Ethernet5,True
l3leaf,eos4,,Ethernet3,rr,eos5,,Ethernet1,True
l3leaf,eos4,,Ethernet4,p,eos2,,Ethernet2,True
l3leaf,eos4,,Ethernet5,spine,eos3,,Ethernet5,True
rr,eos5,,Ethernet1,l3leaf,eos4,,Ethernet3,True
rr,eos5,,Ethernet3,p,eos2,,Ethernet3,True
rr,eos5,,Ethernet4,l3leaf,eos1,,Ethernet5,True
spine,eos6,,Ethernet2,l3leaf,eos8,,Ethernet3,True
spine,eos6,,Ethernet4,l3leaf,eos1,,Ethernet4,True
l3leaf,eos7,,Ethernet1,spine,eos3,,Ethernet2,True
l3leaf,eos7,,Ethernet2,server,eos10,,Ethernet1,True
l3leaf,eos7,,Ethernet4,server,eos19,,Ethernet1,True
l3leaf,eos8,,Ethernet2,server,eos15,,Ethernet1,True
l3leaf,eos8,,Ethernet3,spine,eos6,,Ethernet2,True
l3leaf,eos8,,Ethernet5,server,eos18,,Ethernet1,True
