Type,Node,Serial Number,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Peer IP Address
pe,eos1,,Ethernet1,10.1.2.1/24,rr,eos2,,Ethernet5,10.1.2.2/24
pe,eos1,,Ethernet2,10.1.7.1/24,pe,eos7,,Ethernet3,10.1.7.7/24
pe,eos1,,Ethernet4,10.1.6.1/24,pe,eos6,,Ethernet4,10.1.6.6/24
pe,eos1,,Ethernet5,10.1.5.1/24,rr,eos5,,Ethernet4,10.1.5.5/24
rr,eos2,,Ethernet1,10.2.3.2/24,pe,eos3,,Ethernet3,10.2.3.3/24
rr,eos2,,Ethernet2,10.2.4.2/24,pe,eos4,,Ethernet4,10.2.4.4/24
rr,eos2,,Ethernet3,10.2.5.2/24,rr,eos5,,Ethernet3,10.2.5.5/24
rr,eos2,,Ethernet4,10.2.6.2/24,pe,eos6,,Ethernet5,10.2.6.6/24
pe,eos3,,Ethernet2,10.3.7.3/24,pe,eos7,,Ethernet1,10.3.7.7/24
pe,eos3,,Ethernet4,10.3.5.3/24,rr,eos5,,Ethernet2,10.3.5.5/24
pe,eos3,,Ethernet5,10.3.4.3/24,pe,eos4,,Ethernet5,10.3.4.4/24
pe,eos4,,Ethernet2,10.4.8.4/24,pe,eos8,,Ethernet1,10.4.8.8/24
pe,eos4,,Ethernet3,10.4.5.4/24,rr,eos5,,Ethernet1,10.4.5.5/24
rr,eos5,,Ethernet5,10.5.6.5/24,pe,eos6,,Ethernet1,10.5.6.6/24
pe,eos6,,Ethernet2,10.6.8.6/24,pe,eos8,,Ethernet3,10.6.8.8/24
