Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
pe,eos1,,Ethernet1,rr,eos2,,Ethernet5,True
pe,eos1,,Ethernet2,pe,eos7,,Ethernet3,True
pe,eos1,,Ethernet3,l3_interface,,,,True
pe,eos1,,Ethernet4,pe,eos6,,Ethernet4,True
pe,eos1,,Ethernet5,rr,eos5,,Ethernet4,True
pe,eos1,,Ethernet6,point_to_point_service,,,,True
rr,eos2,,Ethernet1,pe,eos3,,Ethernet3,True
rr,eos2,,Ethernet2,pe,eos4,,Ethernet4,True
rr,eos2,,Ethernet3,rr,eos5,,Ethernet3,True
rr,eos2,,Ethernet4,pe,eos6,,Ethernet5,True
rr,eos2,,Ethernet5,pe,eos1,,Ethernet1,True
pe,eos3,,Ethernet1,router,eos9,,Ethernet2,True
pe,eos3,,Ethernet2,pe,eos7,,Ethernet1,True
pe,eos3,,Ethernet3,rr,eos2,,Ethernet1,True
pe,eos3,,Ethernet4,rr,eos5,,Ethernet2,True
pe,eos3,,Ethernet5,pe,eos4,,Ethernet5,True
pe,eos3,,Ethernet6,l3_interface,,,,True
pe,eos4,,Ethernet1,router,eos9,,Ethernet1,True
pe,eos4,,Ethernet2,pe,eos8,,Ethernet1,True
pe,eos4,,Ethernet3,rr,eos5,,Ethernet1,True
pe,eos4,,Ethernet4,rr,eos2,,Ethernet2,True
pe,eos4,,Ethernet5,pe,eos3,,Ethernet5,True
pe,eos4,,Ethernet6,point_to_point_service,,,,True
rr,eos5,,Ethernet1,pe,eos4,,Ethernet3,True
rr,eos5,,Ethernet2,pe,eos3,,Ethernet4,True
rr,eos5,,Ethernet3,rr,eos2,,Ethernet3,True
rr,eos5,,Ethernet4,pe,eos1,,Ethernet5,True
rr,eos5,,Ethernet5,pe,eos6,,Ethernet1,True
pe,eos6,,Ethernet1,rr,eos5,,Ethernet5,True
pe,eos6,,Ethernet2,pe,eos8,,Ethernet3,True
pe,eos6,,Ethernet3,l3_interface,,,,True
pe,eos6,,Ethernet4,pe,eos1,,Ethernet4,True
pe,eos6,,Ethernet5,rr,eos2,,Ethernet4,True
pe,eos6,,Ethernet6,router,eos14,,Ethernet2,True
pe,eos7,,Ethernet1,pe,eos3,,Ethernet2,True
pe,eos7,,Ethernet2,router,eos10,,Ethernet1,True
pe,eos7,,Ethernet3,pe,eos1,,Ethernet2,True
pe,eos7,,Ethernet4,l3_interface,,,,True
pe,eos8,,Ethernet1,pe,eos4,,Ethernet2,True
pe,eos8,,Ethernet2,l3_interface,,,,True
pe,eos8,,Ethernet3,pe,eos6,,Ethernet2,True
pe,eos8,,Ethernet4,router,eos14,,Ethernet1,True
pe,eos8,,Ethernet5,l3_interface,,,,True
